,Rank,Artist,Album,Total,Daily
307,308,Daniel Caesar,Freudian,1753403570,1001116
308,309,Kygo,Golden Hour,1751454777,1189916
309,310,A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),1744848883,639996
310,311,Lil Skies,Life of a Dark Rose,1743764006,511312
311,312,Logic,Everybody,1743401191,355590
312,313,Dreamville,Revenge Of The Dreamers III: Director's Cut,1740522053,913695
313,314,Nicky Jam,Intimo,1740097101,442824
314,315,The Neighbourhood,I Love You.,1739454102,1981365
315,316,Rihanna,Talk That Talk (Deluxe),1735713188,794352
316,317,Nio Garcia,Now Or Never,1733630459,817124
317,318,Ozuna,Enoc,1720591644,1469325
318,319,Lil Peep,"Come Over When You're Sober, Pt. 2",1715207500,1078635
319,320,Usher,Confessions (Expanded Edition),1712558699,1076413
320,321,Farruko,Gangalee,1711456092,599630
321,322,Queen,The Game (Deluxe Edition 2011 Remaster),1708922763,1146396
322,323,Sigala,Brighter Days,1705275253,399576
323,324,"Tyler, The Creator",Flower Boy,1702434351,1050703
324,325,Becky Hill,Get To Know,1699375371,814829
325,326,One Direction,Up All Night,1699068141,1027614
326,327,The 1975,The 1975 (Deluxe),1698659690,510052
327,328,Flo Rida,Wild Ones (Deluxe),1696908681,973677
328,329,Disclosure,Settle (Special Edition),1695741065,701009
329,330,Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe),1695391383,1103341
330,331,Various Artists,Saturday Night Fever (The Original Movie Soundtrack Deluxe Edition),1692583192,1648389
331,332,The Lumineers,Cleopatra (Deluxe),1686444496,1006846
332,333,Mike Posner,"At Night, Alone. (Expanded Edition)",1686043961,-374092
333,334,21 Savage,Without Warning,1686028077,747263
334,335,Chris Brown,Indigo (Extended),1680138654,846048
335,336,Drake,What A Time To Be Alive,1678349763,305602
336,337,Jeremih,Late Nights: The Album,1676573847,707493
337,338,Lil Baby,Drip Harder,1673631073,853560
338,339,Bob Marley & The Wailers,Exodus 40 (40th Anniversary Deluxe Edition),1668404031,841602
339,340,Black Eyed Peas,Translation,1665123662,986818
340,341,The Notorious B.I.G.,Ready to Die (The Remaster),1663000253,991945
341,342,Mac Miller,Swimming,1656994667,1167839
342,343,Lil Mosey,Certified Hitmaker (AVA Leak),1653101250,854467
343,344,J Balvin,JOSE,1651419035,5802894
344,345,Twenty One Pilots,Trench,1646524789,690689
345,346,Robin Schulz,Sugar,1643739282,400416
346,347,Pitbull,Globalization,1642076276,794283
347,348,P!nk,The Truth About Love,1640984588,990907
348,349,Michael Jackson,Bad 25th Anniversary,1639254235,1159148
349,350,Kid Cudi,Man On The Moon: The End Of Day,1636525182,1375699
350,351,Green Day,American Idiot (Deluxe),1636105190,880265
351,352,Rauw Alejandro,Afrodisíaco,1628669448,1679910
352,353,DaBaby,KIRK,1625250306,742107
