Rank,Artist,Album,Total,EAS
182,Bazzi,COSMIC,2332462832,2328707
183,Eminem,Music To Be Murdered By - Side B (Deluxe Edition),2327929823,2324181
184,Calvin Harris,Funk Wav Bounces Vol.1,2318736811,2315003
185,Linkin Park,Meteora (Bonus Edition),2317990583,2314258
186,One Direction,Take Me Home (Expanded Edition),2311038230,2307317
187,Alessia Cara,Know-It-All (Deluxe),2310456195,2306736
188,Tove Lo,Queen Of The Clouds (Blueprint Edition),2292475848,2288784
189,Lil Tecca,We Love You Tecca,2288762384,2285077
190,Ozuna,Aura,2272777454,2269118
191,Lil Nas X,MONTERO,2267693257,2264042
192,50 Cent,Get Rich Or Die Tryin',2266491058,2262841
193,DJ Khaled,Grateful,2259136938,2255499
194,A Boogie Wit da Hoodie,Hoodie SZN,2253861715,2250232
195,Taylor Swift,Red (Deluxe Edition),2251653914,2248028
196,The Killers,Hot Fuss,2239498146,2235892
197,BTS,BE,2230059760,2226469
198,OneRepublic,Native (Deluxe),2218920047,2215347
199,Bebe Rexha,Expectations,2206848783,2203295
200,James Bay,Chaos And The Calm (Deluxe Edition),2205296435,2201745
201,Maroon 5,Songs About Jane: 10th Anniversary Edition,2204569571,2201020
202,5 Seconds of Summer,Youngblood (Deluxe),2199574734,2196033
203,Kanye West,My Beautiful Dark Twisted Fantasy,2194148914,2190616
204,G-Eazy,When It's Dark Out (Deluxe Edition),2188541477,2185017
205,Niall Horan,Flicker (Deluxe),2186301916,2182781
206,Enrique Iglesias,FINAL (Vol.1),2185507084,2181988
207,Coldplay,A Rush of Blood to the Head,2174773090,2171271
208,Frank Ocean,channel ORANGE (Explicit Version),2172086271,2168589
209,Tyga,Legendary (Deluxe Edition),2171939564,2168442
210,DaBaby,BLAME IT ON BABY (DELUXE),2167648806,2164158
211,Eminem,The Marshall Mathers LP,2160317727,2156839
212,Kygo,Stargazing - EP,2156959211,2153486
213,Romeo Santos,"Fórmula, Vol. 2 (Deluxe Edition) [Clean Version]",2146424928,2142969
214,J Balvin,Colores,2145310844,2141856
215,SZA,Ctrl,2144313234,2140860
216,Jax Jones,Snacks (Supersize),2142567678,2139117
217,AC/DC,Back In Black,2134709249,2131272
218,ZAYN,Mind Of Mine (Japan Version),2133017435,2129583
219,Jess Glynne,I Cry When I Laugh,2129489392,2126060
220,Little Mix,Glory Days (Expanded Edition),2127743634,2124317
